Nationality,Unnamed: 0,ID,Age,Overall,Potential,Value,Wage,Special,International Reputation,Weak Foot,Skill Moves,Jersey Number,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Rating,Quantidade
Belgium,7363.334615384615,207020.61153846153,24.334615384615386,68.81153846153846,74.38846153846154,4699673.076923077,18480.76923076923,1640.9153846153847,1.22007722007722,3.2046332046332044,2.471042471042471,21.44015444015444,52.65250965250965,46.48262548262548,50.96911196911197,61.03861003861004,46.4054054054054,56.656370656370655,49.38223938223938,47.1042471042471,56.02316602316602,60.6988416988417,64.47490347490347,64.5945945945946,64.47876447876448,64.08494208494209,63.683397683397686,59.01544401544402,66.22779922779922,60.633204633204635,65.37065637065638,50.21235521235521,55.262548262548265,45.28957528957529,51.003861003861005,56.575289575289574,49.98069498069498,61.51737451737452,45.67567567567568,46.23938223938224,44.262548262548265,19.45945945945946,19.06949806949807,19.054054054054053,19.166023166023166,19.594594594594593,71.6,260
Egypt,5881.903225806452,214494.29032258064,26.967741935483872,70.2258064516129,72.64516129032258,4295967.741935484,16870.967741935485,1685.5483870967741,1.1935483870967742,3.032258064516129,2.6774193548387095,18.838709677419356,53.193548387096776,48.96774193548387,54.41935483870968,61.83870967741935,45.774193548387096,59.935483870967744,51.74193548387097,44.806451612903224,57.16129032258065,62.25806451612903,68.03225806451613,67.06451612903226,65.87096774193549,63.806451612903224,66.96774193548387,59.935483870967744,63.96774193548387,65.80645161290323,68.45161290322581,52.87096774193548,59.25806451612903,48.903225806451616,52.38709677419355,55.354838709677416,50.096774193548384,64.2258064516129,54.32258064516129,51.774193548387096,48.903225806451616,16.225806451612904,15.903225806451612,17.032258064516128,16.032258064516128,16.483870967741936,71.43548387096774,31
Romania,6364.87037037037,216935.38888888888,25.40740740740741,69.16666666666667,73.66666666666667,2166111.111111111,8166.666666666667,1690.4444444444443,1.1296296296296295,3.1481481481481484,2.4814814814814814,21.61111111111111,54.55555555555556,50.51851851851852,54.888888888888886,60.833333333333336,49.27777777777778,58.74074074074074,53.074074074074076,49.98148148148148,57.46296296296296,61.166666666666664,67.55555555555556,66.74074074074075,67.37037037037037,66.29629629629629,67.33333333333333,60.68518518518518,62.425925925925924,66.98148148148148,66.53703703703704,53.351851851851855,59.648148148148145,47.74074074074074,54.925925925925924,56.648148148148145,52.68518518518518,63.092592592592595,46.370370370370374,48.96296296296296,47.2037037037037,15.944444444444445,15.944444444444445,16.27777777777778,16.09259259259259,16.22222222222222,71.41666666666667,54
Mali,6648.162790697675,216919.09302325582,24.74418604651163,68.97674418604652,73.69767441860465,2688372.093023256,10674.418604651162,1711.3023255813953,1.0232558139534884,2.7674418604651163,2.627906976744186,16.488372093023255,56.627906976744185,50.76744186046512,58.41860465116279,63.0,44.7906976744186,63.627906976744185,51.04651162790697,41.395348837209305,55.906976744186046,64.95348837209302,71.72093023255815,72.13953488372093,67.88372093023256,65.88372093023256,63.7906976744186,61.53488372093023,68.62790697674419,70.02325581395348,70.65116279069767,52.093023255813954,64.32558139534883,51.06976744186046,57.44186046511628,56.81395348837209,50.27906976744186,63.23255813953488,51.23255813953488,52.02325581395349,50.16279069767442,12.44186046511628,12.883720930232558,12.627906976744185,12.465116279069768,12.651162790697674,71.33720930232558,43
Paraguay,6239.011764705882,218352.77647058823,26.094117647058823,69.61176470588235,72.94117647058823,2688647.0588235296,9117.64705882353,1687.4941176470588,1.0714285714285714,2.9761904761904763,2.619047619047619,14.773809523809524,53.38095238095238,54.464285714285715,60.857142857142854,63.464285714285715,50.32142857142857,61.523809523809526,51.785714285714285,46.333333333333336,54.904761904761905,64.89285714285714,67.29761904761905,67.97619047619048,66.66666666666667,66.3452380952381,65.98809523809524,62.5,66.89285714285714,66.48809523809524,67.23809523809524,54.75,58.55952380952381,44.416666666666664,58.0,56.55952380952381,56.845238095238095,62.26190476190476,47.79761904761905,45.916666666666664,43.48809523809524,12.904761904761905,12.571428571428571,13.273809523809524,13.214285714285714,12.654761904761905,71.2764705882353,85
Hungary,6431.421052631579,213720.65789473685,25.526315789473685,69.23684210526316,73.21052631578948,1897500.0,6631.578947368421,1631.6842105263158,1.1842105263157894,3.1315789473684212,2.473684210526316,14.947368421052632,53.026315789473685,48.8421052631579,52.55263157894737,59.89473684210526,47.0,56.0,48.26315789473684,44.39473684210526,53.13157894736842,60.26315789473684,67.02631578947368,66.34210526315789,64.39473684210526,65.76315789473684,64.57894736842105,55.973684210526315,65.5,61.921052631578945,65.21052631578948,50.23684210526316,56.578947368421055,45.18421052631579,51.18421052631579,54.26315789473684,50.5,61.973684210526315,47.18421052631579,44.23684210526316,42.63157894736842,18.18421052631579,16.710526315789473,17.526315789473685,18.36842105263158,18.81578947368421,71.22368421052632,38
Czech Republic,6316.96,203997.39,26.76,69.51,72.78,2837200.0,7950.0,1634.72,1.14,2.91,2.4,19.52,52.07,47.01,54.4,59.48,46.62,55.28,48.62,44.74,53.59,59.22,62.73,63.28,61.57,66.68,59.97,57.07,64.64,61.69,66.51,50.81,58.97,48.55,51.63,55.53,49.78,62.29,44.28,47.15,45.47,19.08,19.36,19.13,19.95,19.86,71.145,100
Slovenia,6842.127272727273,215870.78181818183,26.472727272727273,69.52727272727273,72.74545454545455,4469545.454545454,11127.272727272728,1643.0727272727272,1.2545454545454546,3.0727272727272728,2.4,20.254545454545454,52.345454545454544,44.96363636363636,52.58181818181818,61.472727272727276,46.72727272727273,56.32727272727273,49.09090909090909,46.345454545454544,57.14545454545455,60.14545454545455,65.67272727272727,64.25454545454545,61.8,65.05454545454545,60.2,57.61818181818182,64.01818181818182,62.872727272727275,69.69090909090909,49.10909090909091,56.8,48.872727272727275,51.50909090909091,55.07272727272727,50.36363636363637,63.54545454545455,50.27272727272727,49.6,47.69090909090909,17.727272727272727,17.21818181818182,16.2,17.072727272727274,17.236363636363638,71.13636363636364,55
Zimbabwe,6107.846153846154,211857.76923076922,26.846153846153847,69.76923076923077,72.46153846153847,2780769.230769231,6846.153846153846,1768.6923076923076,1.0,3.076923076923077,2.6923076923076925,23.692307692307693,54.46153846153846,54.15384615384615,62.92307692307692,63.76923076923077,51.53846153846154,64.53846153846153,50.30769230769231,44.69230769230769,59.53846153846154,63.07692307692308,77.6923076923077,78.76923076923077,71.46153846153847,61.53846153846154,70.46153846153847,63.0,72.76923076923077,71.76923076923077,69.6923076923077,51.07692307692308,69.07692307692308,54.23076923076923,59.61538461538461,59.30769230769231,54.07692307692308,64.0,51.0,56.46153846153846,55.0,12.23076923076923,9.538461538461538,10.384615384615385,10.846153846153847,9.692307692307692,71.11538461538461,13
Georgia,7119.153846153846,225015.23076923078,24.03846153846154,68.34615384615384,73.8076923076923,2268461.5384615385,4192.307692307692,1654.7307692307693,1.0384615384615385,3.1153846153846154,2.769230769230769,16.884615384615383,51.88461538461539,54.34615384615385,52.92307692307692,62.57692307692308,47.84615384615385,64.15384615384616,53.0,48.96153846153846,58.65384615384615,65.07692307692308,69.1923076923077,68.84615384615384,68.38461538461539,63.03846153846154,65.65384615384616,61.76923076923077,59.5,65.0,63.46153846153846,53.46153846153846,52.5,41.80769230769231,55.26923076923077,58.96153846153846,53.42307692307692,61.80769230769231,44.80769230769231,45.61538461538461,42.92307692307692,11.76923076923077,12.076923076923077,11.807692307692308,13.846153846153847,12.192307692307692,71.07692307692308,26
