Nationality,Unnamed: 0,ID,Age,Overall,Potential,Value,Wage,Special,International Reputation,Weak Foot,Skill Moves,Jersey Number,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Rating,Quantidade
Cameroon,7751.833333333333,216435.67777777778,24.555555555555557,67.9888888888889,73.0111111111111,2636111.111111111,10966.666666666666,1644.8444444444444,1.2222222222222223,2.922222222222222,2.488888888888889,19.61111111111111,48.5,46.67777777777778,58.72222222222222,60.62222222222222,44.922222222222224,57.7,46.91111111111111,39.75555555555555,52.977777777777774,61.17777777777778,70.16666666666667,71.22222222222223,67.26666666666667,62.24444444444445,64.35555555555555,59.6,70.46666666666667,65.5111111111111,72.2,47.51111111111111,59.55555555555556,48.13333333333333,50.233333333333334,52.8,50.044444444444444,59.94444444444444,49.74444444444445,49.55555555555556,46.81111111111111,14.188888888888888,13.9,13.655555555555555,13.588888888888889,14.122222222222222,70.5,90
Canada,11613.53125,218767.9375,24.25,62.9375,69.21875,925937.5,3812.5,1527.625,1.015625,2.703125,2.203125,19.125,44.3125,42.25,49.3125,55.703125,40.21875,52.28125,44.9375,37.625,48.625,54.4375,63.9375,63.609375,62.453125,57.65625,63.171875,53.859375,63.5625,58.140625,66.28125,43.828125,57.234375,43.640625,44.953125,51.671875,45.703125,54.65625,43.5,45.9375,43.1875,17.671875,16.59375,16.203125,17.59375,17.53125,66.078125,64
Cape Verde,4536.315789473684,216007.0,27.42105263157895,71.63157894736842,73.73684210526316,4426578.947368421,11526.315789473685,1769.9473684210527,1.105263157894737,2.9473684210526314,2.789473684210526,20.36842105263158,54.473684210526315,55.526315789473685,64.52631578947368,66.73684210526316,50.8421052631579,64.63157894736842,56.0,48.26315789473684,58.05263157894737,68.3157894736842,70.26315789473684,70.89473684210526,69.10526315789474,68.42105263157895,65.73684210526316,67.10526315789474,69.94736842105263,72.10526315789474,73.42105263157895,58.26315789473684,64.63157894736842,52.31578947368421,59.578947368421055,61.05263157894737,56.89473684210526,66.73684210526316,50.78947368421053,50.73684210526316,48.21052631578947,10.526315789473685,9.947368421052632,12.421052631578947,10.842105263157896,9.368421052631579,72.6842105263158,19
Central African Rep.,4216.666666666667,211711.0,25.666666666666668,73.33333333333333,76.0,10050000.0,19000.0,1783.3333333333333,1.3333333333333333,2.6666666666666665,2.6666666666666665,14.0,41.666666666666664,47.333333333333336,71.0,70.33333333333333,40.666666666666664,63.0,50.0,47.666666666666664,62.666666666666664,66.66666666666667,62.666666666666664,61.333333333333336,50.333333333333336,71.0,54.0,58.0,73.0,73.33333333333333,87.0,52.333333333333336,77.66666666666667,73.0,63.333333333333336,61.333333333333336,38.0,67.33333333333333,71.0,74.0,70.0,11.333333333333334,10.666666666666666,11.0,8.0,10.0,74.66666666666667,3
Chad,5732.0,237863.0,22.5,70.0,78.0,3400000.0,12000.0,1690.0,1.0,3.0,3.0,12.5,50.5,69.5,65.5,59.5,70.0,66.0,56.0,43.5,45.5,62.5,82.0,81.5,69.5,67.0,57.0,75.0,75.5,71.5,72.5,65.0,57.5,20.0,68.5,58.0,67.0,60.0,18.0,20.5,22.5,9.5,12.5,7.0,13.0,11.0,74.0,2
Chile,9953.202046035805,219949.24040920715,25.074168797953963,64.9923273657289,70.6854219948849,1343171.3554987211,5176.470588235294,1576.83631713555,1.0824742268041236,2.8762886597938144,2.301546391752577,16.90721649484536,49.175257731958766,45.0180412371134,50.61340206185567,59.634020618556704,39.4819587628866,54.81185567010309,44.71649484536083,42.154639175257735,53.98711340206186,57.358247422680414,64.58762886597938,64.4639175257732,63.77577319587629,59.358247422680414,66.63144329896907,54.30154639175258,64.62628865979381,63.93041237113402,63.597938144329895,47.30670103092783,52.603092783505154,45.595360824742265,49.9458762886598,52.47422680412371,48.871134020618555,56.53092783505155,47.15979381443299,46.22164948453608,44.11340206185567,16.487113402061855,15.914948453608247,15.762886597938145,16.172680412371133,16.608247422680414,67.8388746803069,391
China PR,13779.436224489797,221029.41326530612,26.084183673469386,59.910714285714285,63.71938775510204,355420.9183673469,3125.0,1476.0204081632653,1.005128205128205,2.864102564102564,2.005128205128205,19.882051282051282,44.06410256410256,38.68205128205128,47.212820512820514,51.37692307692308,35.771794871794874,48.33846153846154,40.248717948717946,37.0,46.88205128205128,49.42820512820513,61.761538461538464,62.82820512820513,62.174358974358974,57.05384615384615,63.53333333333333,46.238461538461536,63.46666666666667,61.274358974358975,63.58717948717949,38.76923076923077,52.88205128205128,44.48974358974359,45.343589743589746,49.04102564102564,40.98461538461538,51.646153846153844,47.35641025641026,45.58461538461538,44.11282051282051,17.156410256410258,16.92820512820513,17.38974358974359,17.005128205128205,17.382051282051282,61.81505102040816,392
Colombia,9500.773462783172,223314.84466019418,25.241100323624597,65.57605177993527,71.042071197411,1785946.6019417476,5415.857605177994,1581.2394822006472,1.0535714285714286,2.840909090909091,2.3506493506493507,17.25487012987013,48.41396103896104,45.23701298701299,51.90422077922078,57.85876623376623,40.37012987012987,55.061688311688314,43.14935064935065,40.90909090909091,51.1801948051948,57.881493506493506,67.0146103896104,67.25324675324676,65.13798701298701,61.37662337662338,65.92045454545455,54.08766233766234,65.63474025974025,65.88149350649351,64.90584415584415,45.535714285714285,53.951298701298704,46.30844155844156,50.35227272727273,52.34415584415584,47.77435064935065,57.35876623376623,49.881493506493506,46.52922077922078,44.30194805194805,14.991883116883116,15.095779220779221,15.02435064935065,14.891233766233766,15.084415584415584,68.30906148867314,618
Comoros,7796.833333333333,206976.33333333334,26.5,67.5,69.33333333333333,1391666.6666666667,4500.0,1749.0,1.0,2.8333333333333335,2.5,18.333333333333332,58.666666666666664,45.0,47.666666666666664,67.0,38.166666666666664,64.5,56.333333333333336,47.833333333333336,63.0,66.66666666666667,70.83333333333333,70.83333333333333,75.83333333333333,67.66666666666667,80.83333333333333,57.333333333333336,67.33333333333333,74.66666666666667,57.833333333333336,50.0,62.0,63.0,56.333333333333336,60.833333333333336,48.666666666666664,63.5,57.833333333333336,58.833333333333336,56.333333333333336,10.833333333333334,13.166666666666666,9.5,12.0,11.666666666666666,68.41666666666667,6
Congo,11126.04,219799.72,23.96,63.92,69.64,978400.0,4440.0,1536.8,1.04,2.8,2.2,20.72,43.48,45.68,57.36,58.12,41.64,53.64,40.84,37.36,51.76,57.92,65.16,65.12,57.32,58.84,58.32,54.84,64.84,62.0,71.32,44.6,56.48,44.96,49.8,48.12,49.16,55.92,45.96,45.76,43.72,13.2,12.24,13.12,11.72,12.4,66.78,25
Costa Rica,7187.266666666666,218297.16666666666,26.4,68.86666666666666,71.63333333333334,2910666.6666666665,13566.666666666666,1683.3666666666666,1.1666666666666667,2.7666666666666666,2.566666666666667,18.933333333333334,50.333333333333336,46.0,54.8,61.13333333333333,43.7,57.9,49.733333333333334,45.36666666666667,56.166666666666664,60.93333333333333,69.66666666666667,69.66666666666667,65.83333333333333,64.7,64.96666666666667,59.266666666666666,69.8,67.43333333333334,69.23333333333333,47.233333333333334,64.5,53.6,52.166666666666664,54.43333333333333,49.43333333333333,62.266666666666666,53.06666666666667,54.13333333333333,52.1,15.3,14.833333333333334,14.8,14.933333333333334,16.2,70.25,30
Croatia,6710.277777777777,224036.9841269841,24.88095238095238,69.56349206349206,74.4920634920635,5223849.206349206,21682.539682539682,1623.8253968253969,1.2777777777777777,3.0952380952380953,2.4523809523809526,23.984126984126984,49.91269841269841,47.198412698412696,56.507936507936506,61.05555555555556,44.1031746031746,56.77777777777778,47.23015873015873,43.992063492063494,54.79365079365079,60.801587301587304,61.73015873015873,63.0,59.611111111111114,64.52380952380952,57.30952380952381,57.08730158730159,62.20634920634921,62.91269841269841,69.5,48.51587301587302,58.92063492063492,50.20634920634921,50.05555555555556,54.96825396825397,49.698412698412696,61.26190476190476,50.53968253968254,51.682539682539684,49.42063492063492,16.57936507936508,15.396825396825397,15.642857142857142,16.26984126984127,15.873015873015873,72.02777777777777,126
Cuba,9900.0,224287.25,23.75,66.0,72.75,1487500.0,3250.0,1538.5,1.0,3.0,2.0,22.0,46.75,38.5,44.0,57.25,39.5,52.75,46.75,34.25,57.75,54.5,60.25,58.75,63.75,56.0,62.0,57.5,60.75,56.0,63.75,46.25,51.25,42.5,46.75,53.75,40.25,57.75,42.5,45.0,43.25,24.75,23.5,22.25,23.75,22.0,69.375,4
